Primacy Agency,PWS ID,PWS Name,Population Served,City Name,Compliance Period Begin Date,Compliance Period End Date
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Oct-2020,31-Dec-2020
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jul-2019,30-Sep-2019
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jul-2010,30-Sep-2010
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jul-2010,30-Sep-2010
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jan-2016,31-Mar-2016
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jul-2015,30-Sep-2015
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jul-2009,30-Sep-2009
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jan-2015,31-Mar-2015
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Apr-2011,30-Jun-2011
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Oct-2010,31-Dec-2010
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Apr-2015,30-Jun-2015
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jan-2012,31-Mar-2012
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jan-2014,31-Mar-2014
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Apr-2016,30-Jun-2016
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Oct-2020,31-Dec-2020
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Apr-2010,30-Jun-2010
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Oct-2014,31-Dec-2014
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Apr-2012,30-Jun-2012
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Oct-2007,31-Dec-2007
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jul-2011,30-Sep-2011
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Oct-2015,31-Dec-2015
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Apr-2014,30-Jun-2014
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jan-2010,31-Mar-2010
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Oct-2011,31-Dec-2011
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Oct-2009,31-Dec-2009
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jan-2011,31-Mar-2011
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jul-2014,30-Sep-2014
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Oct-2013,31-Dec-2013
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jul-2013,30-Sep-2013
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jan-2008,31-Mar-2008
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Apr-2008,30-Jun-2008
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Oct-2010,31-Dec-2010
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jul-2015,30-Sep-2015
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Oct-2017,31-Dec-2017
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Oct-2014,31-Dec-2014
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jul-2008,30-Sep-2008
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Apr-2017,30-Jun-2017
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Oct-2008,31-Dec-2008
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jan-2012,31-Dec-2014
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jul-2014,30-Sep-2014
Arizona,AZ0408035,FOOTHILLS UTILITIES KINGMAN EAST,"2,538",KINGMAN,01-Jul-2017,30-Sep-2017
Arizona,AZ0408039,CS WHITE HILLS WATER COMPANY UNITS 3 4 6,333,ST. LOUIS,01-Jan-1998,31-Dec-2000
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Apr-2021,30-Jun-2021
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Jul-2024,30-Sep-2024
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Apr-2010,30-Jun-2010
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Jan-2010,31-Mar-2010
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Oct-2007,31-Dec-2007
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Oct-2010,31-Dec-2010
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Apr-2012,30-Jun-2012
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Oct-2009,31-Dec-2009
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Jul-2010,30-Sep-2010
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Apr-2020,30-Jun-2020
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Oct-2015,31-Dec-2015
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Oct-2021,31-Dec-2021
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Jan-2020,31-Mar-2020
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Jan-2022,31-Mar-2022
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Oct-2023,31-Dec-2023
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Jul-2023,30-Sep-2023
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Apr-2024,30-Jun-2024
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Oct-2021,31-Dec-2021
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Jul-2022,30-Sep-2022
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Jan-2024,31-Mar-2024
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Jan-2023,31-Mar-2023
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Apr-2023,30-Jun-2023
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Apr-2022,30-Jun-2022
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Oct-2022,31-Dec-2022
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Jul-2010,30-Sep-2010
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Jul-2013,30-Sep-2013
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Jul-2011,30-Sep-2011
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Apr-2015,30-Jun-2015
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Oct-2011,31-Dec-2011
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Apr-2016,30-Jun-2016
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Oct-2017,31-Dec-2017
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Oct-2012,31-Dec-2012
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Apr-2014,30-Jun-2014
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Jan-2010,31-Mar-2010
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Apr-2013,30-Jun-2013
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Oct-2009,31-Dec-2009
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Jan-2008,31-Mar-2008
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Oct-2016,31-Dec-2016
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Apr-2022,30-Jun-2022
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Jan-2015,31-Mar-2015
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Jul-2014,30-Sep-2014
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Apr-2008,30-Jun-2008
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Apr-2012,30-Jun-2012
Arizona,AZ0408046,LAGOON ESTATES WC UNIT 2,125,MOHAVE VALLEY,01-Oct-2014,31-Dec-2014
Arizona,AZ0408047,LAST STOP,40,WHITE HILLS,01-Jul-2011,30-Sep-2011
Arizona,AZ0408047,LAST STOP,40,WHITE HILLS,01-Apr-2011,30-Jun-2011
Arizona,AZ0408047,LAST STOP,40,WHITE HILLS,01-Oct-2011,31-Dec-2011
Arizona,AZ0408052,OWENS ELEMENTARY SCHOOL,44,WIKIEUP,01-Jan-2014,31-Dec-2014
Arizona,AZ0408063,BERMUDA WATER COMPANY INC,"18,000",FORT MOHAVE,01-Jan-2019,31-Dec-2021
Arizona,AZ0408063,BERMUDA WATER COMPANY INC,"18,000",FORT MOHAVE,01-Jan-1998,31-Dec-2000
Arizona,AZ0408063,BERMUDA WATER COMPANY INC,"18,000",FORT MOHAVE,01-Oct-2022,31-Dec-2022
Arizona,AZ0408063,BERMUDA WATER COMPANY INC,"18,000",FORT MOHAVE,01-Jul-2022,30-Sep-2022
Arizona,AZ0408068,NORTH MOHAVE VALLEY,"5,190",BULLHEAD CITY,01-Jul-2010,30-Sep-2010
Arizona,AZ0408068,NORTH MOHAVE VALLEY,"5,190",BULLHEAD CITY,01-Oct-2010,31-Dec-2010
Arizona,AZ0408068,NORTH MOHAVE VALLEY,"5,190",BULLHEAD CITY,01-Jan-2011,31-Mar-2011
Arizona,AZ0408068,NORTH MOHAVE VALLEY,"5,190",BULLHEAD CITY,01-Jul-2011,30-Sep-2011
Arizona,AZ0408068,NORTH MOHAVE VALLEY,"5,190",BULLHEAD CITY,01-Apr-2011,30-Jun-2011
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Apr-2015,30-Jun-2015
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Jan-2020,31-Mar-2020
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Oct-2021,31-Dec-2021
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Oct-2018,31-Dec-2018
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Jul-2019,30-Sep-2019
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Jul-2018,30-Sep-2018
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Apr-2019,30-Jun-2019
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Oct-2019,31-Dec-2019
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Jan-2022,31-Mar-2022
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Apr-2018,30-Jun-2018
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Oct-2021,31-Dec-2021
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Jul-2020,30-Sep-2020
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Oct-2020,31-Dec-2020
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Apr-2020,30-Jun-2020
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Apr-2021,30-Jun-2021
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Jan-2021,31-Mar-2021
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Jul-2021,30-Sep-2021
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Jan-2020,31-Mar-2020
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Jan-2019,31-Mar-2019
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Apr-2016,30-Jun-2016
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Jul-2021,30-Sep-2021
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Jul-2016,30-Sep-2016
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Jan-2017,31-Mar-2017
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Oct-2015,31-Dec-2015
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Jan-2016,31-Mar-2016
Arizona,AZ0408072,DS WATER COMPANY,258,"DESERT SPRINGS,",01-Oct-2018,31-Dec-2018
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Apr-2021,30-Jun-2021
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Jan-1999,31-Dec-2001
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Jan-2020,31-Dec-2022
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Oct-2000,31-Dec-2000
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Jul-2001,30-Sep-2001
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Oct-2001,31-Dec-2001
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Jul-2003,30-Sep-2003
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Apr-2001,30-Jun-2001
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Oct-2002,31-Dec-2002
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Jan-2003,31-Mar-2003
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Jan-2000,31-Mar-2000
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Apr-2002,30-Jun-2002
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Apr-2000,30-Jun-2000
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Apr-2003,30-Jun-2003
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Jul-2022,30-Sep-2022
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Jul-2000,30-Sep-2000
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Jul-2002,30-Sep-2002
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Jul-2021,30-Sep-2021
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Oct-2003,31-Dec-2003
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Apr-2024,30-Jun-2024
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Jan-2001,31-Mar-2001
Arizona,AZ0408077,KINGMAN STOPPING CENTER,650,VALPARAISO,01-Jul-2024,30-Sep-2024
Arizona,AZ0408081,GOLDEN VALLEY IMPROVEMENT DISTRICT,"3,950",KINGMAN,01-Oct-2012,31-Dec-2012
Arizona,AZ0408081,GOLDEN VALLEY IMPROVEMENT DISTRICT,"3,950",KINGMAN,01-Oct-2016,31-Dec-2016
Arizona,AZ0408081,GOLDEN VALLEY IMPROVEMENT DISTRICT,"3,950",KINGMAN,01-Apr-2018,30-Jun-2018
Arizona,AZ0408081,GOLDEN VALLEY IMPROVEMENT DISTRICT,"3,950",KINGMAN,01-Jul-2009,30-Sep-2009
Arizona,AZ0408081,GOLDEN VALLEY IMPROVEMENT DISTRICT,"3,950",KINGMAN,01-Oct-2007,31-Dec-2007
Arizona,AZ0408081,GOLDEN VALLEY IMPROVEMENT DISTRICT,"3,950",KINGMAN,01-Apr-2008,30-Jun-2008
Arizona,AZ0408081,GOLDEN VALLEY IMPROVEMENT DISTRICT,"3,950",KINGMAN,01-Jul-2010,30-Sep-2010
Arizona,AZ0408081,GOLDEN VALLEY IMPROVEMENT DISTRICT,"3,950",KINGMAN,01-Apr-2011,30-Jun-2011
Arizona,AZ0408081,GOLDEN VALLEY IMPROVEMENT DISTRICT,"3,950",KINGMAN,01-Jan-2012,31-Mar-2012
Arizona,AZ0408081,GOLDEN VALLEY IMPROVEMENT DISTRICT,"3,950",KINGMAN,01-Oct-2011,31-Dec-2011
Arizona,AZ0408081,GOLDEN VALLEY IMPROVEMENT DISTRICT,"3,950",KINGMAN,01-Jul-2015,30-Sep-2015
Arizona,AZ0408081,GOLDEN VALLEY IMPROVEMENT DISTRICT,"3,950",KINGMAN,01-Oct-2010,31-Dec-2010
Arizona,AZ0408081,GOLDEN VALLEY IMPROVEMENT DISTRICT,"3,950",KINGMAN,01-Jul-2016,30-Sep-2016
Arizona,AZ0408081,GOLDEN VALLEY IMPROVEMENT DISTRICT,"3,950",KINGMAN,01-Jul-2012,30-Sep-2012
Arizona,AZ0408081,GOLDEN VALLEY IMPROVEMENT DISTRICT,"3,950",KINGMAN,01-Jul-2008,30-Sep-2008
Arizona,AZ0408081,GOLDEN VALLEY IMPROVEMENT DISTRICT,"3,950",KINGMAN,01-Apr-2016,30-Jun-2016
Arizona,AZ0408081,GOLDEN VALLEY IMPROVEMENT DISTRICT,"3,950",KINGMAN,01-Jul-2018,30-Sep-2018
Arizona,AZ0408081,GOLDEN VALLEY IMPROVEMENT DISTRICT,"3,950",KINGMAN,01-Jul-2017,30-Sep-2017
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Oct-2011,31-Dec-2011
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Apr-2012,30-Jun-2012
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Oct-2011,31-Dec-2011
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Apr-2011,30-Jun-2011
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Jan-2021,31-Mar-2021
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Apr-2020,30-Jun-2020
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Jul-2019,30-Sep-2019
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Jan-2018,31-Mar-2018
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Jul-2020,30-Sep-2020
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Oct-2020,31-Dec-2020
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Oct-2018,31-Dec-2018
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Jan-2015,31-Mar-2015
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Jan-2016,31-Mar-2016
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Jul-2012,30-Sep-2012
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Apr-2012,30-Jun-2012
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Apr-2014,30-Jun-2014
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Apr-2013,30-Jun-2013
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Apr-2016,30-Jun-2016
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Jul-2021,30-Sep-2021
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Oct-2021,31-Dec-2021
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Jan-2013,31-Mar-2013
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Apr-2022,30-Jun-2022
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Oct-2017,31-Dec-2017
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Jan-2022,31-Mar-2022
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Oct-2012,31-Dec-2012
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Oct-2023,31-Dec-2023
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Oct-2022,31-Dec-2022
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Apr-2019,30-Jun-2019
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Jan-2017,31-Mar-2017
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Apr-2017,30-Jun-2017
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Oct-2014,31-Dec-2014
Arizona,AZ0408082,RANCH WATER SERVICE INC,135,KINGMAN,01-Jul-2024,30-Sep-2024
Arizona,AZ0408138,BIASI WATER COMPANY,282,BEAVER DAM,01-Jan-1998,31-Dec-2000
Arizona,AZ0408148,LITTLEFIELD UNIFIED SCHOOL DISTRICT 9,400,LITTLEFIELD,01-Jan-2006,31-Dec-2014
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Apr-2016,30-Jun-2016
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Jan-2016,31-Mar-2016
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Oct-2015,31-Dec-2015
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Oct-2021,31-Dec-2021
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Apr-2020,30-Jun-2020
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Jul-2011,30-Sep-2011
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Apr-2011,30-Jun-2011
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Apr-2019,30-Jun-2019
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Jul-2019,30-Sep-2019
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Oct-2020,31-Dec-2020
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Jan-2021,31-Mar-2021
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Jul-2020,30-Sep-2020
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Apr-2020,30-Jun-2020
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Oct-2018,31-Dec-2018
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Jan-2019,31-Mar-2019
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Jan-2020,31-Mar-2020
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Oct-2019,31-Dec-2019
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Jan-2015,31-Mar-2015
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Oct-2015,31-Dec-2015
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Oct-2014,31-Dec-2014
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Jul-2010,30-Sep-2010
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Jul-2019,30-Sep-2019
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Apr-2012,30-Jun-2012
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Apr-2017,30-Jun-2017
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Jul-2011,30-Sep-2011
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Jan-2012,31-Mar-2012
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Jan-2014,31-Dec-2014
Arizona,AZ0408149,CS WHITE HILLS WATER COMPANY UNIT 1,338,ST. LOUIS,01-Jul-2015,30-Sep-2015
